Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
MOONEY AIRPLANE CO INC,M20TN,10,1.0,12.0,0.08333333333333333
ALON,A2,10,1.0,13.0,0.07692307692307693
Beech,99,10,3.0,39.0,0.07692307692307693
Aeronca,7EC,10,1.0,14.0,0.07142857142857142
Aviat,A1,10,1.0,15.0,0.06666666666666667
Bell,47G-5A,10,1.0,15.0,0.06666666666666667
Cessna,650,10,3.0,45.0,0.06666666666666667
MAULE,M-4-220C,10,1.0,15.0,0.06666666666666667
PIPER,PA-18A,10,1.0,15.0,0.06666666666666667
Cessna,210C,10,1.0,16.0,0.0625
BEECH,23,10,1.0,17.0,0.058823529411764705
CESSNA,195A,10,1.0,20.0,0.05
Balloon Works,FIREFLY 7,10,1.0,31.0,0.03225806451612903
Raven,S-60A,10,1.0,36.0,0.027777777777777776
AIR TRACTOR INC,AT 802,10,0.0,10.0,0.0
BELL,47D1,10,0.0,17.0,0.0
BELLANCA,7KCAB,10,0.0,14.0,0.0
Bell,47G-3B,10,0.0,11.0,0.0
Boeing,727-232,10,0.0,960.0,0.0
Bombardier,CL-600-2B19,10,0.0,361.0,0.0
CESSNA,172A,10,0.0,17.0,0.0
CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,10,0.0,12.0,0.0
Cessna,195B,10,0.0,15.0,0.0
De Havilland,DHC-8-102,10,0.0,195.0,0.0
ERCOUPE,415,10,0.0,14.0,0.0
Flight Design,CTSW,10,0.0,14.0,0.0
GLOBE,GC-1B,10,0.0,13.0,0.0
Grumman,AA-5,10,0.0,16.0,0.0
Hiller,UH-12B,10,0.0,18.0,0.0
Mcdonnell Douglas,MD-80,10,0.0,1258.0,0.0
PIPER,J5A,10,0.0,14.0,0.0
Pzl-mielec,M-18A,10,0.0,11.0,0.0
SCHWEIZER AIRCRAFT CORP,G-164B,10,0.0,10.0,0.0
Swearingen,SA-226T,10,0.0,45.0,0.0
